transaction_number,amount,item
1561,1,Americano Iced
1561,1,LatteHot
1561,1,Cake Of The Day
1562,1,Latte Iced
1563,1,Cake Of The Day
1563,1,Magic Latte
1564,1,Latte Iced
1565,1,Latte Iced
1566,1,Cake Of The Day
1567,1,Cake Of The Day
1567,1,Latte Hot
1568,1,V60
1568,1,Flat White Iced
1568,1,Cake Of The Day
1569,1,Latte Hot
1569,1,Cappucino Hot
1569,1,Cake Of The Day
1570,1,Americano Iced
1572,1,Latte Iced
1576,1,Flat White Iced
1576,1,Cake Of The Day
1577,1,Plain Croisant
1577,1,Latte Iced
1579,1,Cake Of The Day
1580,1,Cake Of The Day
1580,1,Plain Croisant
1580,1,Latte Hot
1581,1,Mochaccino Iced
1581,1,Cake Of The Day
1583,1,Americano Iced
1585,1,Latte Iced
1585,1,Latte Iced
1585,1,Decaf Coffee
1586,1,Flat White Hot
1586,1,Almond Croisant
1587,1,Cappucino Hot
1587,1,Cappucino Iced
1588,1,Latte Hot
1588,1,Cake Of The Day
1590,1,Latte Iced
1591,1,Cappucino Iced
1592,1,Latte Iced
1593,1,V60
1593,1,V60
1594,1,Latte Hot
1594,1,Cappucino Hot
1594,1,Latte Iced
1595,1,Latte Iced
1595,1,Latte Hot
1601,1,Latte Hot
1606,1,Cappucino Hot
1607,1,Pain Au Chocolat
1608,3,Latte Hot
1608,1,Longblack Iced
1608,1,Plain Croisant
1608,1,Almond Croisant
1608,1,Pain Au Chocolat
1609,1,Latte Iced
1611,1,Plain Croisant
1611,1,Cappucino Hot
1611,1,Cappucino Iced
1614,1,Mochaccino Hot
1614,1,Americano Hot
1614,1,Pain Au Chocolat
1614,1,Almond Croisant
1615,3,Cappucino Hot
1615,1,Latte Iced
1615,1,Pain Au Chocolat
1617,1,Latte Iced
1620,2,Latte Iced
1621,1,Americano Hot
1621,1,Americano Hot
1622,1,Latte Iced
1622,2,Almond Croisant
1622,1,Pain Au Chocolat
1622,1,Almond Croisant
1622,1,Pain Au Chocolat
1623,1,Flat White Iced
1624,1,V60
1624,1,Plain Croisant
1627,1,Latte Iced
1628,1,LatteHot
1628,1,Cappucino Hot
1629,1,Cappucino Iced
1630,1,Latte Hot
1631,1,Latte Iced
1632,1,Americano Hot
1632,1,Cappucino Hot
1632,1,Decaf Coffee
1632,1,Americano Hot
1633,1,Flat White Hot
1637,1,V60
1638,1,Latte Hot
1638,1,Cappucino Iced
1638,1,Americano Iced
1638,1,Cappucino Hot
1640,1,Cappucino Iced
1640,1,Decaf Coffee
1640,1,Americano Hot
1641,1,Latte Iced
1643,2,Cappucino Hot
1643,1,EspressoHot
1643,1,Cappucino Iced
1643,1,Americano Iced
1644,1,Latte Iced
1644,1,Latte Iced
1644,1,Pain Au Chocolat
1644,1,Latte Iced
1644,1,Latte Iced
1646,1,V60
1646,1,Latte Hot
1647,1,Cappucino Hot
1650,1,Mochaccino Iced
1652,1,Cappucino Hot
1652,1,PiccoloHot
1652,1,PiccoloHot
1652,1,PiccoloHot
1654,1,Cappucino Hot
1654,1,Latte Iced
1656,1,Cappucino Iced
1656,1,Americano Hot
1656,1,Plain Croisant
1657,1,Latte Iced
1659,1,Latte Iced
1661,1,Latte Iced
1662,1,Latte Iced
1663,1,Latte Iced
1665,1,Flat White Iced
1665,1,Flat White Hot
1665,1,V60
1665,1,LatteHot
1666,1,Latte Iced
1669,1,Cappucino Hot
1669,1,Almond Croisant
1670,1,Latte Iced
1670,1,Plain Croisant
1670,1,Pain Au Chocolat
1671,1,Mochaccino Hot
1671,1,Almond Croisant
1672,1,Latte Iced
1672,1,Latte Iced
1673,1,Americano Iced
1673,1,Latte Iced
1673,1,Plain Croisant
1675,1,LatteHot
1675,1,Decaf Coffee
1677,1,V60
1677,1,V60
1679,1,Flat White Hot
1680,1,Latte Iced
1680,1,Latte Iced
1680,1,Coffee Croissant
1681,1,Americano Iced
1681,1,Latte Iced
1682,1,Flat White Iced
1682,1,Pain Au Chocolat
1683,1,Almond Croisant
1683,1,Pain Au Chocolat
1683,2,EspressoHot
1683,1,Americano Iced
1683,1,Longblack Hot
1683,1,Cappucino Hot
1685,1,Latte Hot
1685,1,Cappucino Iced
1685,1,Almond Croisant
1686,1,Cappucino Hot
1688,1,Latte Iced
1689,1,Americano Iced
1689,1,Cappucino Iced
1691,1,Cappucino Iced
1691,1,Latte Hot
1692,1,Latte Iced
1692,1,Plain Croisant
1693,1,Cappucino Hot
1693,1,V60
1693,1,Cappucino Hot
1694,2,Latte Hot
1695,1,Cappucino Iced
1695,1,Americano Iced
1695,1,Pain Au Chocolat
1695,1,LatteHot
1696,1,Latte Iced
1698,1,V60
1699,1,Latte Iced
1700,1,Americano Iced
1702,1,Latte Iced
1703,1,Cappucino Hot
1703,1,V60
1704,2,Longblack Hot
1705,1,Cappucino Iced
1705,1,V60
1705,1,V60
1706,1,Latte Iced
1706,1,Americano Iced
1708,1,Cappucino Hot
1709,1,Cappucino Hot
1710,1,Cappucino Hot
1711,1,Cake Of The Day
1714,1,Flat White Hot
1714,1,Cappucino Hot
1714,1,Almond Croisant
1714,1,Plain Croisant
1716,1,Latte Iced
1717,1,Latte Iced
1718,1,Latte Iced
1719,2,Americano Iced
1719,1,Cappucino Hot
1720,1,V60
1720,1,Almond Croisant
1720,1,Pain Au Chocolat
1721,3,PiccoloHot
1722,1,V60
1722,1,V60
1723,2,Latte Iced
1724,1,Latte Iced
1724,1,Almond Croisant
1725,1,Latte Iced
1725,1,Latte Iced
1725,1,Decaf Coffee
1727,1,Mochaccino Iced
1732,1,Latte Iced
1733,1,Americano Iced
1733,1,Latte Iced
1735,1,Cappucino Hot
1735,1,Almond Croisant
1735,1,Cake Of The Day
1736,2,Cappucino Hot
1736,1,Longblack Iced
1736,1,Latte Iced
1736,1,Brownies
1736,2,Latte Iced
1738,1,Latte Iced
1739,1,Cappucino Iced
1740,2,Latte Iced
1741,1,Pistachio Croissant
1742,1,Americano Iced
1742,1,Pistachio Croissant
1742,1,Americano Iced
1744,1,Cappucino Iced
1745,1,Latte Iced
1747,1,Cake Of The Day
1748,1,Latte Iced
1748,1,Flat White Iced
1748,1,Almond Croisant
1751,1,Latte Iced
1751,1,Latte Iced
1751,1,Americano Iced
1752,2,Latte Iced
1753,1,Almond Croisant
1754,1,Latte Iced
1755,1,Cappucino Iced
1755,1,Pain Au Chocolat
1755,1,Americano Iced
1756,1,Cappucino Iced
1756,1,Latte Iced
1756,1,Latte Iced
1757,1,Latte Iced
1757,1,Latte Iced
1757,1,V60
1757,1,LatteHot
1758,1,PiccoloHot
1758,1,Latte Iced
1758,1,PiccoloHot
1759,1,Cappucino Hot
1759,1,Almond Croisant
1760,1,Latte Iced
1760,1,Pistachio Croissant
1761,1,Americano Iced
1761,1,Pistachio Croissant
1761,1,Cake Of The Day
1762,1,PiccoloIced
1764,1,Latte Iced
1764,1,Latte Iced
1767,1,Latte Hot
1767,1,Latte Hot
1767,1,Cake Of The Day
1774,1,Latte Hot
1776,1,Almond Croisant
1776,1,Pistachio Croissant
1777,1,Almond Croisant
1777,1,Plain Croisant
1777,1,Brownies
1779,1,Cappucino Hot
1779,1,Latte Iced
1780,1,Flat White Hot
1780,1,Flat White Hot
1780,1,Latte Iced
1780,1,Cookies
1781,1,PiccoloHot
1781,1,PiccoloHot
1781,1,Brownies
1782,1,Americano Iced
1784,1,Latte Iced
1784,1,Flat White Hot
1785,1,Cappucino Hot
1786,1,Latte Hot
1786,1,Cappucino Iced
1787,1,Cappucino Hot
1788,1,Cappucino Hot
1788,1,Pain Au Chocolat
1789,1,EspressoHot
1789,1,Flat White Hot
1789,1,Latte Iced
1790,2,Latte Iced
1790,1,Latte Iced
1791,2,Latte Hot
1791,1,Latte Iced
1791,1,Cappucino Hot
1791,1,Almond Croisant
1791,1,Pain Au Chocolat
1791,1,Pistachio Croissant
1792,1,Cappucino Hot
1792,1,Cappucino Hot
1793,1,Cappucino Hot
1793,1,Cappucino Hot
1794,1,Latte Hot
1797,1,Latte Iced
1798,1,Mochaccino Hot
1798,1,V60
1798,1,Cappucino Hot
1799,1,Americano Iced
1799,1,V60
1803,1,Latte Hot
1803,1,Cappucino Hot
1803,1,Decaf Coffee
1803,1,Cake Of The Day
1804,1,Latte Hot
1807,1,Latte Iced
1809,1,Magic Latte
1809,1,Magic Latte
1810,1,EspressoHot
1814,1,Latte Iced
1817,1,Cappucino Hot
1819,1,EspressoHot
1819,1,Americano Iced
1819,1,V60
1819,1,Pistachio Croissant
1820,1,Latte Hot
1821,1,Latte Hot
1822,1,Cappucino Hot
1822,1,Americano Hot
1822,1,Decaf Coffee
1823,1,Cappucino Hot
1827,1,V60
1827,1,Pain Au Chocolat
1828,1,Cappucino Hot
1828,1,Latte Hot
1828,1,Cappucino Iced
1829,1,Latte Iced
1830,1,Cake Of The Day
1831,1,Latte Iced
1831,1,Almond Croisant
1832,1,Americano Hot
1834,1,Flat White Iced
1834,1,Decaf Coffee
1837,1,Latte Hot
1837,1,Latte Iced
1838,1,Americano Hot
1838,1,EspressoHot
1838,1,Latte Hot
1842,1,Latte Iced
1842,1,Cappucino Hot
1842,1,Flat White Iced
1842,1,Cappucino Hot
1842,1,Pistachio Croissant
1842,1,LatteHot
1843,1,Almond Croisant
1844,1,Latte Iced
1844,1,Americano Iced
1844,1,Latte Iced
1845,1,Americano Iced
1845,1,Cappucino Hot
1845,1,Cookies
1846,1,Latte Iced
1846,1,Plain Croisant
1846,1,Pain Au Chocolat
1847,1,Longblack Iced
1847,1,Latte Iced
1848,1,Latte Iced
1849,1,V60
1849,1,Pistachio Croissant
1850,1,V60
1851,2,Flat White Hot
1851,1,Flat White Hot
1852,1,Flat White Iced
1852,1,Flat White Iced
1852,1,V60
1852,1,Almond Croisant
1853,1,LatteHot
1853,1,Latte Hot
1854,1,V60
1854,1,Americano Iced
1855,1,Cappucino Hot
1858,1,Latte Hot
1858,1,Plain Croisant
1863,1,Cappucino Iced
1863,1,Plain Croisant
1864,1,Latte Iced
1864,2,V60
1864,1,V60
1864,1,V60
1864,1,EspressoHot
1866,1,EspressoHot
1866,1,EspressoHot
1866,1,Pistachio Croissant
1866,1,Cookies
1869,1,Cake Of The Day
1870,2,Cappucino Hot
1872,1,Cappucino Iced
1872,1,Mochaccino Iced
1872,1,Cake Of The Day
1874,1,Latte Iced
1875,1,Latte Hot
1875,1,Flat White Hot
1875,1,Cake Of The Day
1875,1,Pain Au Chocolat
1875,1,Pistachio Croissant
1877,1,EspressoHot
1878,1,Latte Iced
1879,1,Latte Iced
1879,1,Latte Iced
1879,1,Cake Of The Day
1880,1,Latte Iced
1881,1,Latte Iced
1882,1,V60
1882,1,Pain Au Chocolat
1882,1,Cappucino Hot
1883,2,Almond Croisant
1884,1,Flat White Iced
1885,1,Cappucino Hot
1885,1,Cappucino Iced
1885,1,Latte Iced
1885,1,Latte Iced
1887,1,Americano Hot
1891,1,LatteHot
1891,1,LatteHot
1891,1,V60
1891,1,EspressoHot
1891,1,Latte Hot
1891,1,Plain Croisant
1891,1,LatteHot
1892,1,Cake Of The Day
1892,1,Cappucino Hot
1892,1,Latte Iced
1894,1,Latte Iced
1895,1,Pistachio Croissant
1896,1,Latte Iced
1896,1,Latte Iced
1896,1,Latte Iced
1896,1,Pain Au Chocolat
1897,1,Americano Iced
1898,1,Americano Hot
1898,1,Latte Hot
1898,1,LatteHot
1901,1,Americano Iced
1901,1,Cappucino Iced
1904,1,V60
1907,1,Americano Iced
1908,1,Americano Hot
1908,1,Cappucino Iced
1910,1,Latte Iced
1912,1,Cappucino Iced
1913,1,Americano Hot
1913,1,Americano Iced
1913,1,Plain Croisant
1913,1,Pistachio Croissant
1917,1,Almond Croisant
1917,1,Blueberry Muffins
1918,1,Coffee Shakereto
1919,1,Almond Croisant
1920,1,Plain Croisant
1920,1,Cappucino Hot
1921,1,Latte Hot
1921,1,Latte Hot
1921,1,Pain Au Chocolat
1922,1,Almond Croisant
1922,1,Latte Iced
1922,1,Americano Iced
1924,1,Latte Iced
1924,1,Magic Latte
1924,1,Almond Croisant
1925,1,Pain Au Chocolat
1926,1,Latte Iced
1926,1,Latte Iced
1927,1,Almond Croisant
1927,1,PiccoloHot
1931,1,Cappucino Hot
1931,1,Pain Au Chocolat
1931,1,Pistachio Croissant
1934,1,Cake Of The Day
1934,1,Longblack Iced
1934,1,PiccoloHot
1936,1,Pistachio Croissant
1936,1,Cappucino Hot
1937,1,V60
1937,1,Cake Of The Day
1938,1,V60
1938,1,Pistachio Croissant
1939,1,Cake Of The Day
1940,1,Cake Of The Day
1942,1,Longblack Iced
1942,1,Latte Iced
1942,1,Latte Iced
1942,1,Almond Croisant
1942,1,Latte Iced
1942,1,Cake Of The Day
1944,1,V60
1944,1,Latte Iced
1945,1,Pistachio Croissant
1946,1,V60
1946,1,Americano Iced
1947,1,Cake Of The Day
1948,1,Plain Croisant
1949,1,Cappucino Iced
1949,1,Brownies
1950,3,Americano Iced
1951,1,Cappucino Hot
1951,2,Cappucino Hot
1952,1,Latte Iced
1953,1,Pain Au Chocolat
1954,1,Latte Iced
1955,1,Cake Of The Day
1956,1,V60
1956,1,Decaf Coffee
1956,1,Latte Iced
1956,1,Decaf Coffee
1956,1,Latte Hot
1956,1,Cake Of The Day
1956,1,Latte Hot
1957,1,Cookies
1957,1,Plain Croisant
1957,1,Cappucino Hot
1958,1,V60
1958,1,Cake Of The Day
1959,1,Pistachio Croissant
1964,1,Latte Iced
1964,1,Pistachio Croissant
1967,1,Latte Hot
1968,1,Latte Iced
1968,1,Pistachio Croissant
1972,1,Cappucino Iced
1972,1,Latte Hot
1972,1,Decaf Coffee
1973,1,Pistachio Croissant
1973,1,Latte Iced
1973,1,Cappucino Iced
1976,1,Cappucino Hot
1976,1,Latte Hot
1976,1,Decaf Coffee
1976,1,Cake Of The Day
1980,1,Americano Iced
1980,1,Pistachio Croissant
1980,1,Cake Of The Day
1981,1,Cappucino Hot
1981,1,Latte Iced
1981,2,Cake Of The Day
1982,1,Longblack Hot
1982,1,Latte Hot
1983,1,Flat White Hot
1983,1,Cappucino Iced
1983,1,Decaf Coffee
1983,1,Pistachio Croissant
1984,1,Cappucino Hot
1984,1,Cappucino Hot
1987,1,Cappucino Hot
1989,1,Almond Croisant
1990,1,Cappucino Hot
1993,1,Cappucino Iced
1994,1,Latte Iced
1999,1,Latte Iced
2000,1,Latte Hot
2000,1,Latte Hot
2000,1,Cappucino Hot
2000,1,Latte Iced
2001,1,Cappucino Hot
2001,1,Pistachio Croissant
2002,2,Latte Hot
2003,1,Brownies
2004,1,Latte Iced
2004,1,Pain Au Chocolat
2004,1,PiccoloHot
2004,1,Brownies
2004,1,Americano Iced
2004,1,Pistachio Croissant
2007,1,Latte Iced
2009,1,V60
2009,1,V60
2009,1,V60
2011,1,Americano Iced
2011,1,Cookies
2015,1,Cappucino Iced
2016,1,Cappucino Hot
2016,1,Latte Hot
2016,1,V60
2017,2,Flat White Hot
2019,1,Cappucino Iced
2021,2,Americano Iced
2022,1,Cappucino Hot
2022,1,Latte Iced
2024,2,Latte Hot
2024,2,Decaf Coffee
2024,1,Latte Iced
2024,1,Decaf Coffee
2026,1,PiccoloHot
2026,1,Latte Hot
2026,1,PiccoloHot
2027,1,Americano Iced
2028,1,Plain Croisant
2029,1,V60
2029,1,Americano Iced
2029,1,Latte Iced
2029,1,Longblack Iced
2029,1,Decaf Coffee
2029,1,Cake Of The Day
2030,1,Latte Iced
2030,1,Latte Hot
2030,1,Americano Hot
2030,1,Decaf Coffee
2033,1,PiccoloHot
2033,1,Plain Croisant
2035,1,Cappucino Iced
2035,1,Americano Hot
2036,1,Latte Iced
2037,2,Cappucino Hot
2038,1,Americano Iced
2039,1,Americano Hot
2039,1,Latte Iced
2039,1,Pistachio Croissant
2039,1,Blueberry Muffins
2039,1,Brownies
2040,1,V60
2043,1,LatteHot
2043,1,Americano Iced
2043,1,LatteHot
2044,1,Latte Iced
2044,1,Plain Croisant
2045,1,Cappucino Hot
2046,1,Almond Croisant
2048,1,Latte Iced
2050,1,Latte Iced
2052,1,Americano Iced
2055,1,Cappucino Iced
2055,1,Cappucino Iced
2055,1,PiccoloHot
2057,1,Americano Iced
2057,1,Latte Iced
2058,1,Latte Iced
2058,1,Latte Iced
2058,1,Americano Iced
2058,1,Latte Iced
2059,1,V60
2059,1,Latte Iced
2060,1,Almond Croisant
2060,1,Pain Au Chocolat
2066,1,V60
2069,1,LatteHot
2073,1,Latte Iced
2073,1,Brownies
2075,1,Americano Iced
2075,1,Decaf Coffee
2079,2,Latte Iced
2079,2,Brownies
2083,1,Latte Iced
2083,1,Latte Iced
2083,1,Latte Iced
2083,1,Americano Iced
2083,1,Latte Hot
2084,1,Almond Croisant
2085,1,V60
2087,1,Longblack Iced
2087,1,Latte Hot
2087,1,Brownies
2089,1,Almond Croisant
2089,1,Brownies
2089,1,Cappucino Hot
2089,1,Latte Hot
2090,1,Flat White Iced
2091,1,Latte Iced
2091,1,Latte Iced
2092,1,Cappucino Hot
2092,1,Brownies
2093,1,Macchiato Iced
2094,1,Almond Croisant
2094,1,Pain Au Chocolat
2095,1,Americano Hot
2096,1,Latte Hot
2096,1,Latte Hot
2097,1,Longblack Hot
2097,1,Latte Hot
2097,1,Cappucino Hot
2097,1,Almond Croisant
2099,1,Pistachio Croissant
2099,1,Brownies
2099,1,Latte Iced
2099,1,LatteHot
2101,1,V60
2101,1,Americano Hot
2102,1,Flat White Hot
2102,1,V60
2102,1,Decaf Coffee
2104,1,Latte Iced
2106,1,Americano Iced
2106,1,Brownies
2107,1,Cappucino Hot
2107,1,Cake Of The Day
2108,1,Brownies
2108,1,Cookies
2112,1,Latte Iced
2112,1,V60
2114,1,Latte Hot
2114,1,Cappucino Hot
2114,1,Cookies
2115,1,Latte Iced
2116,1,Latte Hot
2116,1,V60
2116,1,Brownies
2116,1,Latte Iced
2116,1,Almond Croisant
2116,1,Cake Of The Day
2118,2,Latte Iced
2118,1,Pain Au Chocolat
2118,1,Plain Croisant
2119,1,Pain Au Chocolat
2119,1,Cookies
2119,1,Cake Of The Day
2124,1,Cappucino Iced
2124,1,Cappucino Hot
2124,1,Cappucino Hot
2124,1,Cappucino Hot
2127,1,Pain Au Chocolat
2127,1,Latte Iced
2128,1,Cookies
2128,1,Mochaccino Hot
2130,1,Cappucino Hot
2130,1,V60
2130,1,Pain Au Chocolat
2135,1,Almond Croisant
2136,2,PiccoloHot
2136,1,Pain Au Chocolat
2137,1,Cappucino Iced
2137,1,Pain Au Chocolat
2141,1,Cappucino Hot
2141,1,Pain Au Chocolat
2141,1,Cake Of The Day
2143,1,Latte Hot
2143,1,Plain Croisant
2145,1,Latte Iced
2147,1,Longblack Iced
2148,1,Flat White Iced
2150,1,V60
2150,1,Blueberry Muffins
2150,1,Plain Croisant
2150,1,Cappucino Hot
2151,1,Pain Au Chocolat
2151,1,Pistachio Croissant
2151,1,Americano Iced
2151,1,Latte Iced
2151,1,LatteHot
2152,1,V60
2152,1,V60
2152,1,Cappucino Hot
2152,1,Cappucino Hot
2152,1,Latte Iced
2152,1,Americano Iced
2153,1,Pain Au Chocolat
2154,1,Flat White Hot
2154,1,Brownies
2155,1,Longblack Iced
2158,1,Longblack Iced
2158,1,Latte Hot
2158,1,Cake Of The Day
2159,1,Pain Au Chocolat
2159,1,Latte Iced
2160,1,Cappucino Hot
2160,1,Cappucino Iced
2161,1,Cappucino Iced
2161,1,Cappucino Iced
2161,1,Americano Iced
2161,1,Cookies
2161,1,V60
2161,1,Cake Of The Day
2162,1,Latte Iced
2162,1,Cappucino Iced
2163,1,Latte Iced
2163,1,Mochaccino Iced
2163,1,Cake Of The Day
2164,1,Cake Of The Day
2164,1,Cake Of The Day
2166,1,Cappucino Iced
2166,1,Blueberry Muffins
2167,1,Cappucino Hot
2168,1,Cake Of The Day
2169,1,Cappucino Iced
2169,1,Cappucino Hot
2169,1,Pain Au Chocolat
2169,1,Brownies
2170,1,Cappucino Iced
2170,1,Latte Hot
2170,2,Latte Iced
2171,1,Almond Croisant
2171,1,Latte Iced
2171,1,Latte Iced
2171,1,Latte Iced
2187,1,Latte Hot
2187,1,Flat White Hot
2187,1,Latte Hot
2190,1,Americano Hot
2190,1,Latte Hot
2190,1,Magic Latte
2190,1,Magic Latte
2191,1,Latte Hot
2191,1,Latte Iced
2192,1,Cappucino Iced
2193,1,Cappucino Hot
2195,1,Cappucino Hot
2195,1,Decaf Coffee
2195,1,EspressoHot
2195,1,EspressoHot
2196,1,Cappucino Hot
2196,1,Latte Hot
2196,1,Cappucino Hot
2196,1,Cappucino Iced
2196,1,Plain Croisant
2201,1,Cappucino Hot
2202,1,Cappucino Hot
2202,1,Latte Hot
2203,1,Magic Latte
2203,1,Brownies
2203,1,Cappucino Hot
2204,1,Cappucino Iced
2205,1,Latte Hot
2205,1,Americano Hot
2205,1,Decaf Coffee
2205,1,Blueberry Muffins
2205,1,Brownies
2205,1,Pistachio Croissant
2205,1,V60
2205,1,V60
2206,1,Latte Iced
2206,1,Latte Iced
2207,1,LatteHot
2207,1,Cappucino Hot
2207,1,Mochaccino Iced
2208,1,V60
2208,1,Almond Croisant
2210,1,Latte Iced
2211,1,Latte Hot
2213,1,Cappucino Iced
2215,1,Cappucino Hot
2217,1,Americano Hot
2217,1,Latte Iced
2221,1,Americano Iced
2223,1,Cappucino Hot
2223,1,Cappucino Iced
2223,1,Brownies
2224,1,Americano Iced
2224,1,Almond Croisant
2224,1,Pain Au Chocolat
2225,3,Cappucino Iced
2229,1,Americano Iced
2229,1,Latte Hot
2230,1,Americano Iced
2230,1,Americano Hot
2231,1,Cappucino Iced
2231,1,Americano Iced
2233,1,Cappucino Hot
2233,1,Latte Iced
2233,1,Latte Iced
2234,1,Pistachio Croissant
2234,1,Americano Iced
2237,1,Longblack Iced
2238,1,Cappucino Hot
2239,1,Cappucino Hot
2239,1,Pistachio Croissant
2239,1,Mochaccino Iced
2239,1,Cappucino Iced
2239,1,Americano Hot
2239,1,Latte Iced
2239,1,Cappucino Hot
2240,1,Latte Iced
2240,1,Latte Iced
2242,1,Latte Iced
2243,1,Magic Latte
2243,1,Mochaccino Hot
2244,1,Cappucino Hot
2244,1,Latte Iced
2245,1,Latte Iced
2245,1,Pain Au Chocolat
2245,1,Almond Croisant
2247,1,Americano Hot
2247,1,PiccoloHot
2247,1,Latte Hot
2248,1,Cappucino Iced
2248,1,Cappucino Iced
2249,1,Latte Iced
2249,1,Americano Iced
2251,2,Latte Iced
2253,1,LatteIce
2253,1,LatteIce
2253,1,Americano Iced
2256,1,V60
2256,1,Latte Hot
2258,1,Latte Iced
2258,1,Almond Croisant
2258,1,Pain Au Chocolat
2261,1,V60
2262,1,V60
2263,2,Latte Hot
2263,1,Latte Iced
2264,1,Latte Hot
2264,1,Cappucino Hot
2265,1,Cappucino Hot
2267,2,Cappucino Iced
2267,1,Cappucino Hot
2267,1,Cappucino Iced
2267,1,Coffee Croissant
2267,1,Pistachio Croissant
2267,1,Almond Croisant
2268,1,Latte Iced
2268,1,Flat White Iced
2269,1,Latte Iced
2269,1,Cappucino Iced
2272,1,Americano Iced
2272,1,Latte Iced
2272,1,Almond Croisant
2274,1,Brownies
2274,1,Cookies
2274,1,Latte Iced
2274,1,Longblack Hot
2277,1,Latte Hot
2277,1,Pistachio Croissant
2277,1,Flat White Iced
2279,1,Latte Iced
2280,1,Pistachio Croissant
2280,1,Latte Iced
2280,1,Cappucino Iced
2281,1,Cappucino Hot
2281,1,Cappucino Hot
2281,1,Mochaccino Iced
2281,1,Americano Hot
2285,1,Almond Croisant
2286,1,Pistachio Croissant
2286,1,Latte Iced
2287,1,Latte Iced
2287,1,Pain Au Chocolat
2288,1,Americano Iced
2291,1,Latte Hot
2291,1,Latte Hot
2291,1,Coffee Croissant
2292,1,Cappucino Hot
2292,1,Cappucino Hot
2292,1,Decaf Coffee
2292,1,Almond Croisant
2293,1,Latte Hot
2293,1,V60
2293,1,Brownies
2295,1,Coffee Croissant
2295,1,Cappucino Hot
2296,2,Latte Hot
2296,1,Latte Iced
2296,1,Latte Hot
2296,1,Latte Iced
2296,1,Latte Iced
2296,2,Latte Iced
2298,2,Americano Hot
2298,1,Pistachio Croissant
2301,1,Flat White Iced
2303,1,Cappucino Iced
2303,1,Latte Iced
2303,1,V60
2305,1,Latte Hot
2305,1,Mochaccino Hot
2306,1,Coffee Jelly
2306,1,Latte Iced
2306,1,V60
2306,1,Brownies
2307,1,Americano Iced
2308,1,Pain Au Chocolat
2308,1,Latte Iced
2310,1,Latte Iced
2311,1,V60
2311,1,Latte Hot
2312,1,Latte Hot
2312,1,Americano Iced
2312,1,Pain Au Chocolat
2313,1,EspressoHot
2313,1,Latte Hot
2313,1,V60
2313,1,Latte Iced
2314,1,Pain Au Chocolat
2314,1,Latte Hot
2319,1,Latte Iced
2319,1,Decaf Coffee
2322,1,Flat White Hot
2323,1,Longblack Hot
2323,1,Plain Croisant
2325,1,Pain Au Chocolat
2325,1,Cookies
2327,1,Americano Hot
2327,1,Latte Hot
2328,1,Flat White Iced
2328,1,Coffee Croissant
2329,1,Cappucino Hot
2329,1,Latte Iced
2330,1,Latte Iced
2330,1,Pain Au Chocolat
2331,1,Americano Hot
2331,1,Latte Iced
2333,1,Latte Hot
2333,1,Cappucino Iced
2333,1,Cappucino Hot
2334,2,Cappucino Hot
2334,2,Latte Iced
2334,1,Pain Au Chocolat
2334,1,Latte Hot
2334,1,Latte Hot
2336,1,Latte Iced
2336,1,Cappucino Hot
2337,1,Americano Iced
2338,1,V60
2340,1,Cappucino Iced
2340,1,Cappucino Hot
2340,1,Latte Iced
2340,1,Cappucino Hot
2341,2,Latte Hot
2341,1,Latte Iced
2341,1,Almond Croisant
2341,1,Almond Croisant
2342,1,Latte Iced
2342,1,Latte Iced
2342,1,Cappucino Iced
2349,1,Cappucino Iced
2349,1,Cappucino Iced
2349,1,Americano Iced
2351,2,Americano Iced
2351,1,Latte Iced
2351,1,Latte Iced
2351,1,Americano Iced
2352,1,Cappucino Iced
2352,1,Latte Iced
2352,1,Cappucino Iced
2352,1,Latte Hot
2354,1,Cappucino Hot
2354,1,Mochaccino Iced
2354,1,Latte Iced
2356,1,Latte Iced
2357,1,V60
2358,2,Latte Iced
2359,1,Latte Iced
2359,1,Decaf Coffee
2360,1,Latte Iced
2360,1,Latte Iced
2361,1,Latte Iced
2361,1,Americano Iced
2361,1,Decaf Coffee
2361,1,Mochaccino Hot
2362,1,Latte Iced
2362,1,Cappucino Hot
2362,1,Latte Iced
2362,1,Almond Croisant
2363,1,Flat White Hot
2364,1,Latte Iced
2364,1,Latte Iced
2366,1,Latte Iced
2366,1,Almond Croisant
2366,1,Coffee Croissant
2367,1,Latte Iced
2368,1,Latte Iced
2368,1,Latte Iced
2368,1,Americano Iced
2368,1,EspressoHot
2371,1,Latte Iced
2373,1,Latte Iced
2376,1,Americano Hot
2376,1,Latte Hot
2376,1,Latte Iced
2377,1,Cappucino Hot
2377,1,Almond Croisant
2378,1,V60
2378,1,Latte Iced
2378,1,Cappucino Iced
2378,1,Coffee Croissant
2378,1,Cappucino Iced
2378,1,Latte Iced
2380,1,Latte Iced
2380,1,Latte Iced
2382,1,Latte Iced
2382,1,V60
2383,1,Cappucino Hot
2383,1,Flat White Hot
2384,1,Pain Au Chocolat
2384,1,Coffee Croissant
2384,1,Cappucino Hot
2384,1,Latte Iced
2385,1,Latte Iced
2387,1,Americano Iced
2387,1,Decaf Coffee
2388,1,Latte Iced
2388,1,Americano Iced
2389,1,Americano Iced
2389,1,Flat White Iced
2391,1,Cappucino Hot
2392,1,Latte Hot
2392,1,Latte Iced
2392,1,Cake Of The Day
2393,1,Pain Au Chocolat
2393,1,Cappucino Hot
2400,1,Latte Iced
